"category","pref","year_week","reference_date","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"RSウイルス","岩手県","2026-18","2026-05-03",0.88,0.5075,1.73,NA,NA,0.4615,FALSE
"インフルエンザ","岩手県","2026-18","2026-05-03",1.385,2.5525,0.54,30,0.05,1.0864,FALSE
"ヘルパンギーナ","岩手県","2026-18","2026-05-03",0.0175,0.008333333333333333,2.1,6,0,NA,FALSE
"マイコプラズマ肺炎","岩手県","2026-18","2026-05-03",0.1575,0.06666666666666667,2.36,NA,NA,1.2381,FALSE
"伝染性紅斑","岩手県","2026-18","2026-05-03",0.2975,0.5566666666666666,0.53,2,0.15,0.7308,FALSE
"咽頭結膜熱","岩手県","2026-18","2026-05-03",0.26,1.0966666666666667,0.24,3,0.09,1.4231,FALSE
"急性出血性結膜炎","岩手県","2026-18","2026-05-03",0,0.005833333333333334,0,1,0,NA,FALSE
"感染性胃腸炎","岩手県","2026-18","2026-05-03",6.5175,5.098333333333334,1.28,20,0.33,1.1219,FALSE
"感染性胃腸炎（ロタウイルス）","岩手県","2026-18","2026-05-03",0.2525,0.008333333333333333,30.3,NA,NA,1,FALSE
"手足口病","岩手県","2026-18","2026-05-03",0.0475,0.02416666666666667,1.97,5,0.01,2.75,FALSE
"新型コロナウイルス","岩手県","2026-18","2026-05-03",2.49,4.10625,0.61,NA,NA,0.7664,FALSE
"水痘","岩手県","2026-18","2026-05-03",0.25,0.115,2.17,2,0.12,0.6818,FALSE
"流行性耳下腺炎","岩手県","2026-18","2026-05-03",0.02,0.023333333333333334,0.86,6,0,NA,FALSE
"流行性角結膜炎","岩手県","2026-18","2026-05-03",0.2675,0.25583333333333336,1.05,8,0.03,1.4828,FALSE
"無菌性髄膜炎","岩手県","2026-18","2026-05-03",0.05,0.008333333333333333,6,NA,NA,1,FALSE
"突発性発しん","岩手県","2026-18","2026-05-03",0.295,0.38583333333333336,0.76,NA,NA,0.8919,FALSE
"細菌性髄膜炎","岩手県","2026-18","2026-05-03",0,0.0125,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","島根県","2026-18","2026-05-03",2.41,1.1866666666666665,2.03,8,0.3,0.8089,FALSE
"RSウイルス","島根県","2026-18","2026-05-03",0.545,0.44166666666666665,1.23,NA,NA,0.4219,FALSE
"インフルエンザ","島根県","2026-18","2026-05-03",1.4125,1.4075,1,30,0.05,0.7273,FALSE
"ヘルパンギーナ","島根県","2026-18","2026-05-03",0.0675,0.06666666666666667,1.01,6,0.01,NA,FALSE
"マイコプラズマ肺炎","島根県","2026-18","2026-05-03",0.38,0.105,3.62,NA,NA,1,FALSE
"伝染性紅斑","島根県","2026-18","2026-05-03",0.1575,0.31083333333333335,0.51,2,0.08,0.5,FALSE
"咽頭結膜熱","島根県","2026-18","2026-05-03",0.635,0.5708333333333333,1.11,3,0.21,0.9011,FALSE
"感染性胃腸炎","島根県","2026-18","2026-05-03",10.657499999999999,5.775,1.85,20,0.53,0.7859,FALSE
"感染性胃腸炎（ロタウイルス）","島根県","2026-18","2026-05-03",0,0.03166666666666667,0,NA,NA,NA,FALSE
"手足口病","島根県","2026-18","2026-05-03",0.11249999999999999,0.145,0.78,5,0.02,3,FALSE
"新型コロナウイルス","島根県","2026-18","2026-05-03",0.675,2.2225,0.3,NA,NA,1.6,FALSE
"水痘","島根県","2026-18","2026-05-03",0.4325,0.15833333333333333,2.73,2,0.22,0,FALSE
"流行性耳下腺炎","島根県","2026-18","2026-05-03",0.045,0.05416666666666667,0.83,6,0.01,NA,FALSE
"流行性角結膜炎","島根県","2026-18","2026-05-03",0.0825,0.055,1.5,8,0.01,0,FALSE
"無菌性髄膜炎","島根県","2026-18","2026-05-03",0.0325,0.010833333333333334,3,NA,NA,NA,FALSE
"突発性発しん","島根県","2026-18","2026-05-03",0.5475,0.5325,1.03,NA,NA,1.5278,FALSE
"細菌性髄膜炎","島根県","2026-18","2026-05-03",0,0.043333333333333335,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","広島県","2026-18","2026-05-03",2.7524999999999995,2.0058333333333334,1.37,8,0.34,0.9625,FALSE
"RSウイルス","広島県","2026-18","2026-05-03",0.47750000000000004,1.0633333333333332,0.45,NA,NA,0.6538,FALSE
"インフルエンザ","広島県","2026-18","2026-05-03",0.87,1.8383333333333334,0.47,30,0.03,1.0714,FALSE
"ヘルパンギーナ","広島県","2026-18","2026-05-03",0.19999999999999998,0.13416666666666666,1.49,6,0.03,2,FALSE
"マイコプラズマ肺炎","広島県","2026-18","2026-05-03",0.19999999999999998,0.15833333333333335,1.26,NA,NA,0.75,FALSE
"伝染性紅斑","広島県","2026-18","2026-05-03",0.06,0.135,0.44,2,0.03,1.4,FALSE
"咽頭結膜熱","広島県","2026-18","2026-05-03",0.3925,0.5475,0.72,3,0.13,1.7778,FALSE
"急性出血性結膜炎","広島県","2026-18","2026-05-03",0,0.0225,0,1,0,NA,FALSE
"感染性胃腸炎","広島県","2026-18","2026-05-03",4.44,6.03,0.74,20,0.22,0.9009,FALSE
"感染性胃腸炎（ロタウイルス）","広島県","2026-18","2026-05-03",0.0125,0.22083333333333333,0.06,NA,NA,NA,FALSE
"手足口病","広島県","2026-18","2026-05-03",0.21999999999999997,0.22,1,5,0.04,1.3448,FALSE
"新型コロナウイルス","広島県","2026-18","2026-05-03",0.6725,1.8425,0.36,NA,NA,0.6296,FALSE
"水痘","広島県","2026-18","2026-05-03",0.2675,0.07416666666666667,3.61,2,0.13,1.2857,FALSE
"流行性耳下腺炎","広島県","2026-18","2026-05-03",0.02,0.0275,0.73,6,0,0.5,FALSE
"流行性角結膜炎","広島県","2026-18","2026-05-03",0.4225,0.7508333333333334,0.56,8,0.05,1.1562,FALSE
"無菌性髄膜炎","広島県","2026-18","2026-05-03",0,0.004166666666666667,0,NA,NA,NA,FALSE
"突発性発しん","広島県","2026-18","2026-05-03",0.1875,0.24000000000000002,0.78,NA,NA,0.913,FALSE
"細菌性髄膜炎","広島県","2026-18","2026-05-03",0,0.008333333333333333,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","徳島県","2026-18","2026-05-03",1.1425,0.9466666666666667,1.21,8,0.14,1.7579,FALSE
"RSウイルス","徳島県","2026-18","2026-05-03",0.2025,0.825,0.25,NA,NA,1.9,FALSE
"インフルエンザ","徳島県","2026-18","2026-05-03",0.725,0.8841666666666667,0.82,30,0.02,0.6667,FALSE
"ヘルパンギーナ","徳島県","2026-18","2026-05-03",0.0125,0.0425,0.29,6,0,NA,FALSE
"マイコプラズマ肺炎","徳島県","2026-18","2026-05-03",0.17750000000000002,0.023333333333333334,7.61,NA,NA,2.0714,FALSE
"伝染性紅斑","徳島県","2026-18","2026-05-03",0.18,0.028333333333333332,6.35,2,0.09,0,FALSE
