pref,category,year_week,ma4,weekly_value,yr,wk
三重県,インフルエンザ,2025-12,1.09,0.99,2025,12
三重県,インフルエンザ,2025-13,1.0150000000000001,0.78,2025,13
三重県,インフルエンザ,2025-14,0.81,0.46,2025,14
三重県,インフルエンザ,2025-15,0.675,0.47,2025,15
三重県,インフルエンザ,2025-16,0.5725,0.58,2025,16
三重県,インフルエンザ,2025-17,0.47,0.37,2025,17
三重県,インフルエンザ,2025-18,0.45249999999999996,0.39,2025,18
三重県,インフルエンザ,2025-19,0.44500000000000006,0.44,2025,19
三重県,インフルエンザ,2025-20,0.4375,0.55,2025,20
三重県,インフルエンザ,2025-21,0.5125000000000001,0.67,2025,21
三重県,インフルエンザ,2025-22,0.54,0.5,2025,22
三重県,インフルエンザ,2025-23,0.465,0.14,2025,23
三重県,インフルエンザ,2025-24,0.35250000000000004,0.1,2025,24
三重県,インフルエンザ,2025-25,0.22,0.14,2025,25
三重県,インフルエンザ,2025-26,0.11750000000000001,0.09,2025,26
三重県,インフルエンザ,2025-27,0.10750000000000001,0.1,2025,27
三重県,インフルエンザ,2025-28,0.1,0.07,2025,28
三重県,インフルエンザ,2025-29,0.0875,0.09,2025,29
三重県,インフルエンザ,2025-30,0.08,0.06,2025,30
三重県,インフルエンザ,2025-31,0.1025,0.19,2025,31
三重県,インフルエンザ,2025-32,0.12,0.14,2025,32
三重県,インフルエンザ,2025-33,0.135,0.15,2025,33
三重県,インフルエンザ,2025-34,0.16999999999999998,0.2,2025,34
三重県,インフルエンザ,2025-35,0.17,0.19,2025,35
三重県,インフルエンザ,2025-36,0.2325,0.39,2025,36
三重県,インフルエンザ,2025-37,0.51,1.26,2025,37
三重県,インフルエンザ,2025-38,0.7925,1.33,2025,38
三重県,インフルエンザ,2025-39,1.0725,1.31,2025,39
三重県,インフルエンザ,2025-40,1.31,1.34,2025,40
三重県,インフルエンザ,2025-41,1.5175,2.09,2025,41
三重県,インフルエンザ,2025-42,1.8025000000000002,2.47,2025,42
三重県,インフルエンザ,2025-43,2.64,4.66,2025,43
三重県,インフルエンザ,2025-44,5.39,12.34,2025,44
三重県,インフルエンザ,2025-45,9.3675,18,2025,45
三重県,インフルエンザ,2025-46,16.6225,31.49,2025,46
三重県,インフルエンザ,2025-47,26.705000000000002,44.99,2025,47
三重県,インフルエンザ,2025-48,34.635000000000005,44.06,2025,48
三重県,インフルエンザ,2025-49,40.602500000000006,41.87,2025,49
三重県,インフルエンザ,2025-50,41.955,36.9,2025,50
三重県,インフルエンザ,2025-51,39.167500000000004,33.84,2025,51
三重県,インフルエンザ,2025-52,34.660000000000004,26.03,2025,52
三重県,クラミジア肺炎,2025-01,0,0,2025,1
三重県,クラミジア肺炎,2025-02,0,0,2025,2
三重県,クラミジア肺炎,2025-03,0,0,2025,3
三重県,クラミジア肺炎,2025-05,0,0,2025,5
三重県,クラミジア肺炎,2025-06,0,0,2025,6
三重県,クラミジア肺炎,2025-07,0,0,2025,7
三重県,クラミジア肺炎,2025-08,0,0,2025,8
三重県,クラミジア肺炎,2025-09,0,0,2025,9
三重県,クラミジア肺炎,2025-10,0,0,2025,10
三重県,クラミジア肺炎,2025-11,0,0,2025,11
三重県,クラミジア肺炎,2025-12,0,0,2025,12
三重県,クラミジア肺炎,2025-13,0,0,2025,13
三重県,クラミジア肺炎,2025-14,0,0,2025,14
三重県,クラミジア肺炎,2025-15,0,0,2025,15
三重県,クラミジア肺炎,2025-16,0,0,2025,16
三重県,クラミジア肺炎,2025-17,0,0,2025,17
三重県,クラミジア肺炎,2025-18,0,0,2025,18
三重県,クラミジア肺炎,2025-19,0,0,2025,19
三重県,クラミジア肺炎,2025-20,0,0,2025,20
